USER_ID,USER_STATE,USER_DISTRICT,FOLLOWED_CROP_LIST,FOLLOWED_TOPIC_LIST
2007a8da-d0de-4063-b294-6b408f3da57e,मध्य प्रदेश,शिवपुरी,"[
  ""black gram"",
  ""Gwar"",
  ""Gram"",
  ""toor daal"",
  ""potato"",
  ""Wheat""
]",
000b07f6-6532-43d0-9a54-d8d7396f0ab3,राजस्थान,Dhaulpur,"[
  ""Barseem"",
  ""Mustard""
]","[
  ""Mandi Rates""
]"
000d2bb7-dd56-4bcb-a739-389fe1f274f3,मध्य प्रदेश,नीमच,"[
  ""Capsicum""
]",
00130c35-f0cc-4f91-a5d7-d40bf0e1608f,हरियाणा,यमुनानगर,"[
  ""Coriander"",
  ""Maize"",
  ""Mustard"",
  ""Sugarcane"",
  ""Masoor Dal"",
  ""Maithi"",
  ""paddy (rice)"",
  ""paddy (rice)"",
  ""Sugarcane"",
  ""Wheat"",
  ""carom"",
  ""cumin"",
  ""black gram"",
  ""Mustard"",
  ""Garlic"",
  ""potato"",
  ""Mustard"",
  ""Til"",
  ""carom"",
  ""Paan"",
  ""Popular"",
  ""Coriander"",
  ""Merigold"",
  ""moong"",
  ""Wheat""
]","[
  ""dairy farming"",
  ""seeds"",
  ""Fertilizer"",
  ""Tractor"",
  ""Today Tips"",
  ""Success Story"",
  ""subsidy on seed"",
  ""Agro Chemical"",
  ""farm machinery"",
  ""weed management"",
  ""Agriculture News"",
  ""Government Schemes"",
  ""Weather Report""
]"
0019a83c-e785-4777-9865-d6824d0dd258,उत्तर प्रदेश,Gautam Buddha Nagar,"[
  ""potato"",
  ""Mushroom"",
  ""Pea"",
  ""muskmelon""
]",
0027356d-3e1a-4f0d-b3ad-94eb71def97f,उत्तर प्रदेश,Hamirpur,"[
  ""peanut"",
  ""Pea"",
  ""Ginger"",
  ""Gram"",
  ""Ajola"",
  ""Rajnigandha"",
  ""Sugarcane"",
  ""carom""
]","[
  ""buy-sell"",
  ""Mandi Rates"",
  ""Government Schemes"",
  ""farm machinery""
]"
0019fd9b-d142-4eac-b16f-0b6792d6ab36,झारखण्ड,रामगढ़,"[
  ""peanut"",
  ""Pea"",
  ""Stevia"",
  ""soyabean"",
  ""Masoor Dal"",
  ""paddy (rice)"",
  ""Parval"",
  ""Karela"",
  ""Tulsi"",
  ""Gwar"",
  ""cauliflower"",
  ""Kidney Bins"",
  ""black gram"",
  ""Barley"",
  ""Gram"",
  ""Til"",
  ""Mustard"",
  ""Cucumber"",
  ""Satavar"",
  ""ridge gourd"",
  ""carrot"",
  ""cabbage"",
  ""Beans"",
  ""jack fruit"",
  ""toor daal"",
  ""brinjal"",
  ""Maize"",
  ""onion"",
  ""moong"",
  ""Spinach"",
  ""Sunflower"",
  ""Mushroom"",
  ""Ginger"",
  ""Guava"",
  ""Rose"",
  ""Turnip"",
  ""Papaya"",
  ""Maithi"",
  ""Coriander"",
  ""Fennel"",
  ""beans"",
  ""potato"",
  ""chilli"",
  ""sugar beets"",
  ""Gooseberry"",
  ""Straberi"",
  ""Lemon"",
  ""cumin"",
  ""Garlic"",
  ""Banana"",
  ""lady finger (okra)"",
  ""Alovera"",
  ""Wheat"",
  ""Safed Musli"",
  ""mango"",
  ""Radish"",
  ""Turmeric"",
  ""tomato"",
  ""Litchi"",
  ""Merigold"",
  ""bottle gourd"",
  ""Pumpkin"",
  ""Sweet Potato"",
  ""brockely"",
  ""Orange""
]","[
  ""subsidy""
]"
001dd0d9-d3cc-4f95-941e-938a53b01578,उत्तर प्रदेश,उन्नाव,"[
  ""Kidney Bins"",
  ""Saffron"",
  ""Kalonji""
]","[
  ""Weather Report"",
  ""discussion""
]"
001f4fe3-9749-48bb-b8d4-4b863e210965,महाराष्ट्र,नागपुर जिला,"[
  ""paddy (rice)"",
  ""Alovera""
]","[
  ""Organic Fertilizer""
]"
002a05af-1feb-4a84-8c13-8482d572bb9e,मध्य प्रदेश,राजगढ़,"[
  ""Tobacco"",
  ""beans"",
  ""Paan"",
  ""Ajola"",
  ""Plantago ovata"",
  ""chilli"",
  ""coffee"",
  ""Kalonji"",
  ""Papaya"",
  ""soyabean"",
  ""Spinach"",
  ""Garlic"",
  ""ridge gourd"",
  ""cumin"",
  ""Lemon"",
  ""Alovera"",
  ""Saffron"",
  ""Mushroom"",
  ""Rose"",
  ""Radish"",
  ""bottle gourd"",
  ""Merigold"",
  ""Til"",
  ""Rajnigandha"",
  ""Karela"",
  ""Wheat""
]","[
  ""Success Story"",
  ""Tractor"",
  ""dairy farming"",
  ""animal husbandry"",
  ""poultry farming"",
  ""Mandi Rates"",
  ""goat farming"",
  ""Piggery"",
  ""lockdown"",
  ""Weather Report"",
  ""seeds"",
  ""subsidy on seed"",
  ""subsidy"",
  ""animal protection"",
  ""Hydroponic"",
  ""Animal Feed"",
  ""Disease"",
  ""Crop Storage"",
  ""Bee Keeping"",
  ""horticulture"",
  ""Agriculture News"",
  ""Poly House"",
  ""New Farming Techniques"",
  ""fish farming"",
  ""Government Schemes"",
  ""Drip Irrigation"",
  ""irrigation"",
  ""Fasal Protection"",
  ""Organic Fertilizer"",
  ""Organic Farming""
]"
